date,FI
3/31/1994,-0.735
6/30/1994,-0.741
9/30/1994,-0.538
12/31/1994,-0.738
3/31/1995,-0.476
6/30/1995,-0.43
9/30/1995,-0.723
12/31/1995,-0.777
3/31/1996,-0.785
6/30/1996,-0.622
9/30/1996,-0.645
12/31/1996,-0.316
3/31/1997,-0.408
6/30/1997,-0.668
9/30/1997,-0.679
12/31/1997,-0.877
3/31/1998,-1.037
6/30/1998,-0.782
9/30/1998,-0.677
12/31/1998,-0.53
3/31/1999,-0.299
6/30/1999,-0.509
9/30/1999,-0.382
12/31/1999,-0.218
3/31/2000,-0.424
6/30/2000,-0.33
9/30/2000,-0.549
12/31/2000,-0.721
3/31/2001,-0.21
6/30/2001,0.008
9/30/2001,0.301
12/31/2001,0.821
3/31/2002,1.12
6/30/2002,1.335
9/30/2002,1.579
12/31/2002,1.419
3/31/2003,1.093
6/30/2003,1.1
9/30/2003,0.893
12/31/2003,0.777
3/31/2004,0.718
6/30/2004,0.355
9/30/2004,0.198
12/31/2004,-0.135
3/31/2005,-0.343
6/30/2005,-0.597
9/30/2005,-0.622
12/31/2005,-0.728
3/31/2006,-0.641
6/30/2006,-0.652
9/30/2006,-0.732
12/31/2006,-0.515
3/31/2007,-0.65
6/30/2007,-0.497
9/30/2007,-0.366
12/31/2007,-0.306
3/31/2008,-0.094
6/30/2008,0.404
9/30/2008,0.78
12/31/2008,0.938
3/31/2009,1.475
6/30/2009,1.98
9/30/2009,2.355
12/31/2009,2.692
3/31/2010,2.466
6/30/2010,1.803
9/30/2010,1.224
12/31/2010,0.678
3/31/2011,-0.138
6/30/2011,-0.631
9/30/2011,-1.139
12/31/2011,-1.377
3/31/2012,-1.251
6/30/2012,-1.291
9/30/2012,-0.956
12/31/2012,-1.12
3/31/2013,-1.21
6/30/2013,-1.249
9/30/2013,-1.402
12/31/2013,-1.312
3/31/2014,-1.072
6/30/2014,-0.903
