date,stmonthlych,stmovingavg
29-Feb-04,13,
31-Mar-04,38,
30-Apr-04,4,18.33
31-May-04,23,21.67
30-Jun-04,-13,4.67
31-Jul-04,6,5.33
31-Aug-04,20,4.33
30-Sep-04,9,11.67
31-Oct-04,26,18.33
30-Nov-04,33,22.67
31-Dec-04,0,19.67
31-Jan-05,43,25.33
28-Feb-05,8,17
31-Mar-05,-9,14
30-Apr-05,22,7
31-May-05,18,10.33
30-Jun-05,-17,7.67
31-Jul-05,99,33.33
31-Aug-05,3,28.33
30-Sep-05,-19,27.67
31-Oct-05,-19,-11.67
30-Nov-05,26,-4
31-Dec-05,26,11
31-Jan-06,-26,8.67
28-Feb-06,25,8.33
31-Mar-06,25,8
30-Apr-06,16,22
31-May-06,6,15.67
30-Jun-06,-6,5.33
31-Jul-06,47,15.67
31-Aug-06,45,28.67
30-Sep-06,72,54.67
31-Oct-06,-13,34.67
30-Nov-06,17,25.33
31-Dec-06,4,2.67
31-Jan-07,6,9
28-Feb-07,35,15
31-Mar-07,19,20
30-Apr-07,25,26.33
31-May-07,17,20.33
30-Jun-07,18,20
31-Jul-07,-34,0.33
31-Aug-07,44,9.33
30-Sep-07,54,21.33
31-Oct-07,21,39.67
30-Nov-07,27,34
31-Dec-07,30,26
31-Jan-08,30,29
29-Feb-08,20,26.67
31-Mar-08,21,23.67
30-Apr-08,4,15
31-May-08,31,18.67
30-Jun-08,32,22.33
31-Jul-08,43,35.33
31-Aug-08,0,25
30-Sep-08,-32,3.67
31-Oct-08,8,-8
30-Nov-08,5,-6.33
31-Dec-08,-1,4
31-Jan-09,12,5.33
28-Feb-09,-12,-0.33
31-Mar-09,-18,-6
30-Apr-09,-8,-12.67
31-May-09,2,-8
30-Jun-09,5,-0.33
31-Jul-09,-67,-20
31-Aug-09,17,-15
30-Sep-09,-87,-45.67
31-Oct-09,56,-4.67
30-Nov-09,10,-7
31-Dec-09,-40,8.67
31-Jan-10,-31,-20.33
28-Feb-10,-23,-31.33
31-Mar-10,-8,-20.67
30-Apr-10,-5,-12
31-May-10,-7,-6.67
30-Jun-10,-10,-7.33
31-Jul-10,-42,-19.67
31-Aug-10,-50,-34
30-Sep-10,-88,-60
31-Oct-10,45,-31
30-Nov-10,-12,-18.33
31-Dec-10,-27,2
31-Jan-11,-6,-15
28-Feb-11,-56,-29.67
31-Mar-11,-20,-27.33
30-Apr-11,6,-23.33
31-May-11,-64,-26
30-Jun-11,44,-4.67
31-Jul-11,-114,-44.67
31-Aug-11,5,-21.67
30-Sep-11,-41,-50
31-Oct-11,3,-11
30-Nov-11,-21,-19.67
31-Dec-11,-22,-13.33
31-Jan-12,2,-13.67
29-Feb-12,4,-5.33
31-Mar-12,-2,1.33
30-Apr-12,-6,-1.33
31-May-12,-20,-9.33
30-Jun-12,14,-4
31-Jul-12,-2,-2.67
31-Aug-12,9,7
30-Sep-12,2,3
31-Oct-12,-32,-7
30-Nov-12,-3,-11
31-Dec-12,1,-11.33
31-Jan-13,-17,-6.33
28-Feb-13,16,0
31-Mar-13,-2,-1
30-Apr-13,13,9
31-May-13,0,3.67
30-Jun-13,1,4.67
31-Jul-13,-10,-3
31-Aug-13,29,6.67
30-Sep-13,16,11.67
31-Oct-13,2,15.67
30-Nov-13,-5,4.33
31-Dec-13,1,-0.67
31-Jan-14,-7,-3.67
28-Feb-14,24,6
31-Mar-14,8,8.33
30-Apr-14,26,19.33
31-May-14,2,12
30-Jun-14,26,18
31-Jul-14,11,13
