date,Fiscal_Impact,RecessionDummy
Q1-2000,0.216,0
Q2-2000,0.317,0
Q3-2000,0.102,0
Q4-2000,-0.067,0
Q1-2001,0.446,1
Q2-2001,0.666,1
Q3-2001,0.961,1
Q4-2001,1.481,1
Q1-2002,1.776,0
Q2-2002,1.986,0
Q3-2002,2.223,0
Q4-2002,2.054,0
Q1-2003,1.719,0
Q2-2003,1.709,0
Q3-2003,1.483,0
Q4-2003,1.344,0
Q1-2004,1.257,0
Q2-2004,0.869,0
Q3-2004,0.688,0
Q4-2004,0.337,0
Q1-2005,0.119,0
Q2-2005,-0.142,0
Q3-2005,-0.171,0
Q4-2005,-0.278,0
Q1-2006,-0.192,0
Q2-2006,-0.202,0
Q3-2006,-0.28,0
Q4-2006,-0.06,0
Q1-2007,-0.193,0
Q2-2007,-0.036,0
Q3-2007,0.096,0
Q4-2007,0.157,1
Q1-2008,0.365,1
Q2-2008,0.854,1
Q3-2008,1.218,1
Q4-2008,1.362,1
Q1-2009,1.881,1
Q2-2009,2.361,1
Q3-2009,2.711,0
Q4-2009,3.023,0
Q1-2010,2.775,0
Q2-2010,2.098,0
Q3-2010,1.508,0
Q4-2010,0.955,0
Q1-2011,0.141,0
Q2-2011,-0.347,0
Q3-2011,-0.848,0
Q4-2011,-1.078,0
Q1-2012,-0.947,0
Q2-2012,-0.982,0
Q3-2012,-0.643,0
Q4-2012,-0.803,0
Q1-2013,-0.892,0
Q2-2013,-0.933,0
Q3-2013,-1.089,0
Q4-2013,-1.003,0
Q1-2014,-0.767,0
Q2-2014,-0.599,0
