date,deficit_actual,deficit_proj
01-01-1975,-53,
01-02-1976,-74,
01-01-1977,-54,
01-01-1978,-59,
01-01-1979,-41,
01-02-1980,-74,
01-01-1981,-79,
01-01-1982,-128,
01-01-1983,-208,
01-02-1984,-185,
01-01-1985,-212,
01-01-1986,-221,
01-01-1987,-150,
01-02-1988,-155,
01-01-1989,-153,
01-01-1990,-221,
01-01-1991,-269,
01-02-1992,-290,
01-01-1993,-255,
01-01-1994,-203,
01-01-1995,-164,
01-02-1996,-107,
01-01-1997,-22,
01-01-1998,69,
01-01-1999,126,
01-02-2000,236,
01-01-2001,128,
01-01-2002,-158,
01-01-2003,-378,
01-02-2004,-413,
01-01-2005,-318,
01-01-2006,-248,
01-01-2007,-161,
01-02-2008,-459,
01-01-2009,-1413,
01-01-2010,-1294,
01-01-2011,-1300,
01-02-2012,-1087,
01-01-2013,-680,
01-01-2014,-506,-506
01-01-2015,,-469
01-02-2016,,-556
01-01-2017,,-530
01-01-2018,,-560
01-01-2019,,-661
01-02-2020,,-737
01-01-2021,,-820
01-01-2022,,-946
01-01-2023,,-957
01-02-2024,,-960
