date,rev,revproj,outl,outlproj
01/01/1975,17.33,,20.63,
01/02/1976,16.65,,20.77,
01/01/1977,17.53,,20.18,
01/01/1978,17.54,,20.14,
01/01/1979,18.03,,19.61,
01/02/1980,18.49,,21.13,
01/01/1981,19.1,,21.61,
01/01/1982,18.64,,22.5,
01/01/1983,16.96,,22.83,
01/02/1984,16.86,,21.55,
01/01/1985,17.19,,22.16,
01/01/1986,16.96,,21.83,
01/01/1987,17.87,,21,
01/02/1988,17.64,,20.65,
01/01/1989,17.79,,20.53,
01/01/1990,17.45,,21.19,
01/01/1991,17.27,,21.67,
01/02/1992,16.96,,21.47,
01/01/1993,16.99,,20.74,
01/01/1994,17.49,,20.31,
01/01/1995,17.83,,19.99,
01/02/1996,18.21,,19.56,
01/01/1997,18.62,,18.87,
01/01/1998,19.23,,18.45,
01/01/1999,19.21,,17.89,
01/02/2000,19.95,,17.62,
01/01/2001,18.84,,17.63,
01/01/2002,17.03,,18.48,
01/01/2003,15.73,,19.06,
01/02/2004,15.55,,18.96,
01/01/2005,16.71,,19.18,
01/01/2006,17.59,,19.4,
01/01/2007,17.93,,19.05,
01/02/2008,17.11,,20.21,
01/01/2009,14.6,,24.41,
01/01/2010,14.62,,23.37,
01/01/2011,14.97,,23.42,
01/02/2012,15.22,15.2,21.98,22
01/01/2013,16.69,16.7,20.77,20.8
01/01/2014,,17.5,,20.4
01/01/2015,,18.3,,20.9
01/02/2016,,18.1,,21
01/01/2017,,18.1,,20.8
01/01/2018,,18,,20.7
01/01/2019,,18,,21.1
01/02/2020,,18.1,,21.3
01/01/2021,,18.1,,21.5
01/01/2022,,18.1,,21.9
01/01/2023,,18.2,,21.9
01/02/2024,,18.2,,21.8
