date,fedmonthlych,fedmovingavg
01/01/2009,7900,6500
02/01/2009,7700,6166.67
03/01/2009,800,5466.67
04/01/2009,11800,6766.67
05/01/2009,7800,6800
06/01/2009,17400,12333.33
07/01/2009,15800,13666.67
08/01/2009,8900,14033.33
09/01/2009,3900,9533.33
10/01/2009,11000,7933.33
11/01/2009,6400,7100
12/01/2009,9200,8866.67
01/01/2010,5400,7000
02/01/2010,3700,6100
03/01/2010,6100,5066.67
04/01/2010,400,3400
05/01/2010,21300,9266.67
06/01/2010,3100,8266.67
07/01/2010,6000,10133.33
08/01/2010,5700,4933.33
09/01/2010,1100,4266.67
10/01/2010,4600,3800
11/01/2010,2600,2766.67
12/01/2010,6100,4433.33
01/01/2011,5900,4866.67
02/01/2011,2600,4866.67
03/01/2011,3500,4000
04/01/2011,1600,2566.67
05/01/2011,1500,2200
06/01/2011,-8800,-1900
07/01/2011,-2300,-3200
08/01/2011,-1100,-4066.67
09/01/2011,-100,-1166.67
10/01/2011,-700,-633.33
11/01/2011,-3000,-1266.67
12/01/2011,-1500,-1733.33
01/01/2012,-5800,-3433.33
02/01/2012,-3700,-3666.67
03/01/2012,1400,-2700
04/01/2012,-700,-1000
05/01/2012,900,533.33
06/01/2012,-200,
07/01/2012,-8400,-2566.67
08/01/2012,7200,-466.67
09/01/2012,6300,1700
10/01/2012,-3900,3200
11/01/2012,-600,600
12/01/2012,-1500,-2000
01/01/2013,-3900,-2000
02/01/2013,-2400,-2600
03/01/2013,-4100,-3466.67
04/01/2013,-9300,-5266.67
05/01/2013,-10700,-8033.33
06/01/2013,-6800,-8933.33
07/01/2013,-7200,-8233.33
08/01/2013,-7900,-7300
09/01/2013,-4900,-6666.67
10/01/2013,-9300,-7366.67
11/01/2013,4200,-3333.33
12/01/2013,-6300,-3800
01/01/2014,-5600,-2566.67
02/01/2014,-6300,-6066.67
03/01/2014,-4000,-5300
04/01/2014,-2800,-4366.67
05/01/2014,200,-2200
06/01/2014,200,-800
07/01/2014,1600,666.67
08/01/2014,1100,966.67
