year,quarter,impact,recession,total,federal,state_local,consumption
2000,Q1,0.209,0,-0.942,-0.95,0.36,-0.352098049
2000,Q2,0.312,0,0.637,0.88,0.02,-0.262824882
2000,Q3,0.101,0,-0.189,-0.42,0.27,-0.038852002
2000,Q4,-0.066,0,0.231,-0.13,0.35,0.00091146
2001,Q1,0.447,0,1.108,0.53,0.54,0.037905302
2001,Q2,0.667,1,1.518,0.49,0.95,0.087693037
2001,Q3,0.962,1,0.993,0.21,-0.26,1.042702261
2001,Q4,1.482,1,2.308,0.2,0.88,1.2381011
2002,Q1,1.776,0,2.286,0.64,0.47,1.176068635
2002,Q2,1.986,0,2.358,0.62,0.11,1.627864778
2002,Q3,2.222,0,1.936,0.42,0.17,1.346460008
2002,Q4,2.053,0,1.63,0.5,0.05,1.080387499
2003,Q1,1.718,0,0.949,0.02,-0.26,1.18850682
2003,Q2,1.708,0,2.318,1.42,-0.19,1.08826454
2003,Q3,1.483,0,1.034,-0.16,0.18,1.014149407
2003,Q4,1.345,0,1.078,0.56,-0.13,0.648364741
2004,Q1,1.257,0,0.599,0.2,0.01,0.388947582
2004,Q2,0.87,0,0.767,0.29,0.15,0.327007908
2004,Q3,0.688,0,0.309,0.51,-0.21,0.009408774
2004,Q4,0.337,0,-0.327,-0.25,-0.08,0.00313291
2005,Q1,0.119,0,-0.274,0.17,0,-0.453553954
2005,Q2,-0.143,0,-0.28,0.06,0.07,-0.420466217
2005,Q3,-0.172,0,0.193,0.53,0.07,-0.406573305
2005,Q4,-0.279,0,-0.755,-0.43,0.15,-0.464997942
2006,Q1,-0.193,0,0.071,0.71,-0.11,-0.538555781
2006,Q2,-0.202,0,-0.319,-0.04,0.31,-0.589331758
2006,Q3,-0.28,0,-0.116,0.01,0.16,-0.276007162
2006,Q4,-0.06,0,0.124,0.3,0.2,-0.38647277
2007,Q1,-0.192,0,-0.458,-0.39,0.23,-0.297837409
2007,Q2,-0.036,0,0.307,0.46,0.2,-0.353168451
2007,Q3,0.096,0,0.413,0.55,0.01,-0.146804797
2007,Q4,0.157,0,0.366,0.16,0.15,0.055514483
2008,Q1,0.366,1,0.379,0.47,-0.15,0.058706001
2008,Q2,0.987,1,2.792,0.56,0.07,2.172349647
2008,Q3,1.389,1,2.018,0.91,0.22,0.88819128
2008,Q4,1.617,1,1.279,0.56,0,0.71916093
2009,Q1,2.163,1,2.561,-0.24,0.39,2.410679934
2009,Q2,2.224,1,3.039,1.09,0.47,1.478660697
2009,Q3,2.452,0,2.93,0.47,0.01,2.449533106
2009,Q4,2.67,0,2.152,0.02,-0.19,2.322128002
2010,Q1,2.424,0,1.574,0.32,-0.95,2.204181794
2010,Q2,2.143,0,1.915,0.71,-0.1,1.305459418
2010,Q3,1.705,0,1.179,0.32,-0.39,1.248994569
2010,Q4,1.206,0,0.157,-0.23,-0.63,1.027109807
2011,Q1,0.349,0,-1.857,-0.95,-0.65,-0.256549467
2011,Q2,-0.264,0,-0.536,0.14,-0.22,-0.456279064
2011,Q3,-0.845,0,-1.144,-0.35,-0.17,-0.623875953
2011,Q4,-1.132,0,-0.991,-0.21,-0.1,-0.680645437
2012,Q1,-0.963,0,-1.183,-0.03,-0.36,-0.782841577
2012,Q2,-1.079,0,-0.999,-0.24,-0.14,-0.608680345
2012,Q3,-0.955,0,-0.649,0.04,-0.26,-0.428962296
2012,Q4,-1.024,0,-1.267,-0.45,-0.3,-0.516545639
2013,Q1,-1.146,0,-1.671,-0.86,0.02,-0.841051022
2013,Q2,-1.205,0,-1.232,-0.41,0.03,-0.861986237
2013,Q3,-1.238,0,-0.783,-0.39,0.01,-0.413102566
2013,Q4,-1.167,0,-0.98,-0.42,-0.11,-0.450363349
2014,Q1,-0.944,0,-0.779,-0.01,-0.17,-0.588974587
2014,Q2,-0.722,0,-0.345,-0.2,0.22,-0.364872584
2014,Q3,-0.494,0,0.127,0.28,0.18,-0.332976461
2014,Q4,-0.325,0,-0.301,-0.43,0.36,-0.231344698
2015,Q1,-0.031,0,0.396,0.13,0.32,-0.054122286
2015,Q2,0.2,0,0.579,0.01,0.56,0.00854567
2015,Q3,0.246,0,0.311,0.06,0.27,-0.028689211
2015,Q4,0.349,0,0.108,0.25,-0.07,-0.071713812
2016,Q1,0.334,0,0.337,-0.1,0.39,0.056806586
2016,Q2,0.128,0,-0.244,-0.02,-0.28,0.06
2016,Q3,0.071,0,0.082,0.16,-0.02,-0.06
2016,Q4,0.084,0,0.160,-0.08,0.11,0.13
2017,Q1,0.001,0,0.006,-0.14,-0.06,0.21
